title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-15,กระบวนการยุติธรรม,พรรคประชาชาติ
ร่างพระราชบัญญัติธรรมนูญศาลทหาร (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-05-31,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติว่าด้วยการเวนคืนและการได้มาซึ่งอสังหาริมทรัพย์ (ฉบับที่..) พ.ศ. ....,IN_PROGRESS,2024-05-02,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติหลักประกันสุขภาพแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-15,สาธารณสุข,พรรคเป็นธรรม
พระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 14/2559 เรื่อง คณะกรรมการที่ปรึกษาการบริหารและการพัฒนาจังหวัดชายแดนภาคใต้ และการกำหนดอำนาจหน้าที่ของกองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร ลงวันที่ 4 เมษายน พุทธศักราช 2559 พ.ศ. ....,MERGED,2024-02-14,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติเขตเศรษฐกิจพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-04-04,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติเขตเศรษฐกิจพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-04-04,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-05-28,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,REJECTED,2024-02-14,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคกล้าธรรม
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคเศรษฐกิจ
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-05-28,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-02-14,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,IN_PROGRESS,2023-08-22,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติบริหารจัดการเพื่ออากาศสะอาด พ.ศ. ....,IN_PROGRESS,2024-01-05,สิ่งแวดล้อม,พรรคพลังประชารัฐ
พระราชบัญญัติอำนาจเรียกของคณะกรรมาธิการของสภาผู้แทนราษฎรและวุฒิสภา พ.ศ. ....,ENACTED,2024-01-04,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,IN_PROGRESS,2025-04-09,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสงวนและคุ้มครองสัตว์ป่า (ฉบับที่ ..)  พ.ศ. ....,REJECTED,2024-03-13,สิ่งแวดล้อม,พรรคเพื่อไทย
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-13,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-03-07,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-03-07,เศรษฐกิจ,พรรคกล้าธรรม
"ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....
(แก้ไขเพิ่มเติม มาตรา 287)",REJECTED,2023-08-03,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-04-09,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคกล้าธรรม
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติภาพยนตร์และวีดิทัศน์ (ฉบัับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-07,วัฒนธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-03-01,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติส่งเสริมและรักษาคุณภาพสิ่งแวดล้อมแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-08-03,สิ่งแวดล้อม,พรรคประชาชน
พระราชบัญญัติว่าด้วยการออกเสียงประชามติ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-01-31,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการปฏิรูปที่ดินเพื่อการประมงพื้นบ้าน พ.ศ. ....,REJECTED,2024-02-28,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการยาสูบแห่งประเทศไทย (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-03-13,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการยาสูบแห่งประเทศไทย (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-03-13,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติยุทธศาสตร์ลำไย พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ พ.ศ. ....,IN_PROGRESS,2024-12-25,สวัสดิการ,พรรคประชาชน
ร่างพระราชบัญญัติควบคุมการขายทอดตลาดและค้าของเก่า (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-12-25,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติควบคุมการขายทอดตลาดและค้าของเก่า (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-12-25,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-12-18,แรงงาน,พรรคประชาชน
ร่างพระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-12-18,แรงงาน,พรรคประชาชน
ร่างพระราชบัญญัติศูนย์กลางการประกอบธุรกิจทางการเงิน พ.ศ. ....,IN_PROGRESS,2025-03-06,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-01-29,กระบวนการยุติธรรม,พรรคประชาชน
